,none,E1,E2,I2,19B
0,7.0,1.0,0.0,9.0,3.0
1,7.0,1.0,1.0,9.0,3.0
2,7.0,1.0,1.0,10.0,3.0
3,8.0,1.0,1.0,13.0,5.0
4,8.0,1.0,0.0,12.0,5.0
5,8.0,1.0,1.0,11.0,6.0
6,7.0,1.0,0.0,10.0,3.0
7,7.0,1.0,0.0,10.0,4.0
8,6.0,1.0,0.0,10.0,3.0
9,9.0,1.0,1.0,13.0,5.0
10,7.0,1.0,1.0,10.0,3.0
11,8.0,1.0,1.0,11.0,6.0
12,7.0,1.0,1.0,10.0,3.0
13,8.0,1.0,0.0,11.0,4.0
14,8.0,1.0,1.0,15.0,5.0
15,8.0,1.0,0.0,10.0,3.0
16,8.0,1.0,1.0,11.0,6.0
17,7.0,1.0,1.0,11.0,4.0
18,9.0,1.0,1.0,11.0,6.0
19,7.0,1.0,1.0,11.0,6.0
20,8.0,1.0,1.0,13.0,5.0
21,9.0,1.0,1.0,21.0,7.0
22,8.0,1.0,1.0,15.0,6.0
23,7.0,1.0,1.0,9.0,4.0
24,8.0,1.0,0.0,11.0,4.0
25,8.0,1.0,1.0,13.0,6.0
26,7.0,1.0,1.0,14.0,6.0
27,7.0,1.0,1.0,10.0,5.0
28,7.0,1.0,1.0,14.0,5.0
29,8.0,1.0,0.0,14.0,5.0
30,6.0,1.0,0.0,9.0,3.0
31,8.0,1.0,0.0,16.0,6.0
32,7.0,1.0,0.0,9.0,3.0
33,7.0,1.0,0.0,9.0,3.0
34,8.0,1.0,1.0,15.0,6.0
35,6.0,1.0,1.0,9.0,4.0
36,6.0,1.0,0.0,10.0,3.0
37,9.0,1.0,1.0,17.0,7.0
38,6.0,1.0,0.0,9.0,3.0
39,6.0,0.0,0.0,11.0,3.0
40,8.0,1.0,1.0,15.0,6.0
41,8.0,1.0,1.0,12.0,5.0
42,6.0,1.0,1.0,9.0,3.0
43,8.0,1.0,1.0,13.0,6.0
44,9.0,0.0,0.0,16.0,5.0
45,6.0,1.0,1.0,9.0,3.0
46,8.0,1.0,1.0,11.0,6.0
47,7.0,1.0,0.0,9.0,5.0
48,7.0,1.0,1.0,11.0,3.0
49,6.0,1.0,1.0,9.0,4.0
50,8.0,1.0,1.0,13.0,6.0
51,7.0,1.0,1.0,9.0,5.0
52,6.0,0.0,0.0,8.0,2.0
53,8.0,1.0,1.0,12.0,6.0
54,8.0,1.0,1.0,20.0,6.0
55,8.0,1.0,0.0,10.0,4.0
56,7.0,1.0,1.0,10.0,6.0
57,8.0,1.0,0.0,10.0,5.0
58,8.0,1.0,1.0,13.0,5.0
59,8.0,1.0,1.0,15.0,6.0
60,8.0,1.0,0.0,18.0,3.0
61,9.0,1.0,1.0,17.0,6.0
62,8.0,1.0,0.0,11.0,5.0
63,8.0,1.0,1.0,11.0,5.0
64,8.0,1.0,1.0,15.0,4.0
65,8.0,1.0,1.0,16.0,6.0
66,8.0,2.0,1.0,17.0,6.0
67,8.0,1.0,1.0,12.0,4.0
68,8.0,1.0,1.0,11.0,6.0
69,9.0,0.0,0.0,16.0,6.0
70,8.0,1.0,0.0,12.0,5.0
71,6.0,1.0,0.0,10.0,3.0
72,7.0,1.0,0.0,11.0,3.0
73,8.0,1.0,1.0,16.0,6.0
74,7.0,1.0,1.0,9.0,4.0
75,7.0,0.0,0.0,11.0,5.0
76,8.0,1.0,1.0,10.0,5.0
77,7.0,1.0,1.0,14.0,3.0
78,7.0,1.0,0.0,9.0,4.0
79,7.0,1.0,0.0,12.0,2.0
80,7.0,1.0,0.0,9.0,4.0
81,7.0,1.0,1.0,9.0,3.0
82,7.0,1.0,0.0,10.0,4.0
83,8.0,1.0,1.0,19.0,6.0
84,9.0,1.0,1.0,17.0,6.0
85,8.0,1.0,1.0,12.0,5.0
86,8.0,1.0,1.0,10.0,6.0
87,8.0,1.0,1.0,15.0,6.0
88,7.0,1.0,1.0,11.0,5.0
89,8.0,1.0,1.0,15.0,6.0
90,8.0,1.0,1.0,14.0,5.0
91,5.0,0.0,0.0,11.0,3.0
92,7.0,1.0,1.0,9.0,5.0
93,7.0,1.0,1.0,14.0,5.0
94,6.0,1.0,0.0,9.0,2.0
95,7.0,1.0,1.0,12.0,6.0
96,9.0,1.0,0.0,13.0,6.0
97,8.0,1.0,0.0,11.0,4.0
98,8.0,1.0,0.0,13.0,3.0
99,7.0,1.0,1.0,11.0,4.0
100,0.0,1.0,1.0,9.0,4.0
101,7.0,1.0,1.0,11.0,5.0
102,8.0,1.0,1.0,14.0,5.0
103,8.0,1.0,1.0,11.0,6.0
104,7.0,1.0,1.0,9.0,3.0
105,9.0,1.0,1.0,17.0,6.0
106,7.0,1.0,1.0,9.0,3.0
107,6.0,1.0,0.0,10.0,3.0
108,8.0,1.0,1.0,14.0,4.0
109,7.0,1.0,1.0,15.0,5.0
110,7.0,1.0,1.0,11.0,4.0
111,8.0,1.0,0.0,10.0,3.0
112,8.0,1.0,0.0,10.0,5.0
113,7.0,1.0,1.0,9.0,4.0
114,8.0,1.0,1.0,13.0,4.0
115,8.0,1.0,0.0,16.0,6.0
116,8.0,1.0,1.0,14.0,4.0
117,9.0,1.0,1.0,17.0,6.0
118,8.0,1.0,0.0,11.0,6.0
119,7.0,1.0,1.0,11.0,3.0
120,7.0,1.0,1.0,16.0,4.0
121,8.0,1.0,1.0,11.0,4.0
122,8.0,1.0,1.0,18.0,4.0
123,8.0,1.0,0.0,9.0,6.0
124,8.0,1.0,0.0,11.0,4.0
125,6.0,1.0,0.0,9.0,3.0
126,7.0,1.0,1.0,9.0,3.0
127,5.0,0.0,0.0,9.0,2.0
128,8.0,1.0,0.0,12.0,6.0
129,7.0,1.0,1.0,9.0,4.0
130,8.0,1.0,1.0,11.0,3.0
131,7.0,1.0,0.0,12.0,3.0
132,8.0,1.0,1.0,14.0,6.0
133,7.0,1.0,1.0,9.0,4.0
134,7.0,1.0,1.0,9.0,4.0
135,7.0,1.0,1.0,11.0,4.0
136,8.0,1.0,1.0,14.0,6.0
137,9.0,1.0,1.0,19.0,6.0
138,7.0,1.0,1.0,17.0,4.0
139,8.0,1.0,1.0,11.0,5.0
140,6.0,1.0,0.0,9.0,2.0
141,9.0,1.0,1.0,12.0,4.0
142,8.0,1.0,1.0,12.0,5.0
143,8.0,1.0,1.0,17.0,6.0
144,7.0,1.0,1.0,9.0,4.0
145,8.0,0.0,0.0,11.0,4.0
146,8.0,1.0,1.0,13.0,4.0
147,8.0,1.0,0.0,9.0,3.0
148,6.0,0.0,0.0,9.0,3.0
149,8.0,1.0,1.0,17.0,5.0
150,6.0,1.0,0.0,10.0,3.0
151,6.0,1.0,0.0,9.0,3.0
152,7.0,1.0,1.0,10.0,3.0
153,7.0,1.0,1.0,10.0,5.0
154,8.0,1.0,1.0,10.0,3.0
155,9.0,1.0,1.0,13.0,5.0
156,8.0,2.0,1.0,13.0,4.0
157,6.0,1.0,0.0,10.0,3.0
158,8.0,1.0,0.0,12.0,6.0
159,6.0,1.0,0.0,9.0,3.0
160,8.0,1.0,1.0,17.0,6.0
161,7.0,1.0,1.0,11.0,5.0
162,9.0,1.0,1.0,17.0,6.0
163,8.0,0.0,0.0,15.0,5.0
164,8.0,1.0,1.0,12.0,6.0
165,8.0,1.0,1.0,11.0,5.0
166,8.0,1.0,1.0,9.0,4.0
167,7.0,1.0,1.0,10.0,6.0
168,8.0,1.0,1.0,14.0,5.0
169,8.0,0.0,0.0,15.0,5.0
170,6.0,1.0,0.0,10.0,3.0
171,7.0,1.0,1.0,12.0,5.0
172,8.0,1.0,1.0,10.0,4.0
173,8.0,1.0,0.0,15.0,4.0
174,7.0,1.0,1.0,9.0,4.0
175,8.0,1.0,1.0,14.0,6.0
176,8.0,1.0,0.0,16.0,4.0
177,6.0,0.0,0.0,10.0,2.0
178,8.0,1.0,1.0,9.0,3.0
179,7.0,1.0,1.0,14.0,4.0
180,8.0,1.0,1.0,13.0,5.0
181,8.0,1.0,0.0,9.0,6.0
182,7.0,1.0,0.0,10.0,5.0
183,6.0,1.0,0.0,13.0,2.0
184,8.0,1.0,1.0,11.0,3.0
185,7.0,1.0,1.0,18.0,5.0
186,9.0,1.0,1.0,16.0,5.0
187,7.0,1.0,1.0,10.0,5.0
188,6.0,0.0,0.0,9.0,2.0
189,8.0,1.0,1.0,18.0,6.0
190,7.0,1.0,0.0,13.0,6.0
191,7.0,1.0,1.0,14.0,6.0
192,8.0,1.0,1.0,17.0,6.0
193,7.0,1.0,0.0,10.0,3.0
194,8.0,1.0,1.0,13.0,5.0
195,7.0,1.0,0.0,10.0,3.0
196,8.0,1.0,1.0,12.0,6.0
197,8.0,1.0,1.0,15.0,6.0
198,8.0,1.0,0.0,10.0,5.0
199,7.0,1.0,1.0,12.0,4.0
200,7.0,0.0,0.0,10.0,2.0
201,8.0,2.0,1.0,12.0,6.0
202,7.0,0.0,0.0,10.0,2.0
203,8.0,1.0,1.0,15.0,6.0
204,8.0,1.0,0.0,12.0,5.0
205,8.0,1.0,1.0,18.0,6.0
206,7.0,1.0,1.0,9.0,3.0
207,8.0,1.0,0.0,12.0,3.0
208,8.0,1.0,1.0,14.0,7.0
209,8.0,1.0,1.0,14.0,5.0
210,7.0,0.0,0.0,10.0,4.0
211,8.0,1.0,1.0,15.0,4.0
212,7.0,1.0,1.0,9.0,4.0
213,7.0,1.0,1.0,10.0,5.0
214,8.0,0.0,0.0,10.0,2.0
215,7.0,1.0,1.0,10.0,3.0
216,8.0,0.0,0.0,10.0,2.0
217,7.0,1.0,1.0,19.0,3.0
218,7.0,1.0,1.0,11.0,3.0
219,9.0,1.0,1.0,15.0,5.0
220,6.0,1.0,1.0,10.0,4.0
221,8.0,1.0,1.0,16.0,4.0
222,9.0,1.0,1.0,17.0,6.0
223,7.0,1.0,1.0,14.0,5.0
224,7.0,1.0,1.0,10.0,3.0
225,7.0,1.0,0.0,10.0,4.0
226,6.0,1.0,0.0,10.0,3.0
227,8.0,1.0,0.0,11.0,4.0
228,8.0,1.0,0.0,11.0,4.0
229,7.0,1.0,1.0,9.0,4.0
230,6.0,0.0,0.0,8.0,2.0
231,7.0,0.0,0.0,16.0,5.0
232,8.0,1.0,0.0,11.0,4.0
233,7.0,1.0,1.0,9.0,5.0
234,5.0,0.0,0.0,8.0,2.0
235,7.0,1.0,0.0,10.0,4.0
236,8.0,1.0,0.0,13.0,5.0
237,6.0,1.0,1.0,9.0,3.0
238,5.0,0.0,0.0,9.0,2.0
239,7.0,1.0,1.0,13.0,4.0
240,9.0,1.0,0.0,12.0,7.0
241,8.0,1.0,1.0,15.0,5.0
242,6.0,1.0,0.0,9.0,3.0
243,7.0,1.0,1.0,9.0,3.0
244,8.0,1.0,1.0,11.0,6.0
245,8.0,1.0,0.0,10.0,5.0
246,9.0,1.0,1.0,18.0,6.0
247,9.0,1.0,1.0,12.0,6.0
248,6.0,1.0,0.0,10.0,3.0
249,7.0,1.0,1.0,14.0,5.0
250,6.0,0.0,0.0,9.0,2.0
251,9.0,1.0,0.0,12.0,6.0
252,7.0,1.0,1.0,12.0,3.0
253,8.0,0.0,0.0,9.0,5.0
254,9.0,1.0,1.0,17.0,5.0
255,7.0,1.0,0.0,9.0,3.0
256,9.0,1.0,1.0,16.0,6.0
257,8.0,1.0,1.0,12.0,5.0
258,8.0,1.0,1.0,17.0,5.0
259,8.0,2.0,1.0,13.0,6.0
260,8.0,0.0,0.0,12.0,4.0
261,7.0,1.0,0.0,13.0,3.0
262,8.0,1.0,1.0,12.0,3.0
263,6.0,0.0,0.0,9.0,2.0
264,7.0,1.0,0.0,9.0,5.0
265,8.0,1.0,1.0,12.0,5.0
266,6.0,1.0,0.0,13.0,3.0
267,9.0,1.0,0.0,13.0,6.0
268,9.0,1.0,1.0,13.0,7.0
269,7.0,1.0,1.0,11.0,5.0
270,7.0,0.0,0.0,10.0,3.0
271,7.0,1.0,0.0,10.0,3.0
272,7.0,0.0,0.0,9.0,2.0
273,6.0,1.0,0.0,12.0,4.0
274,7.0,2.0,1.0,10.0,4.0
275,7.0,1.0,0.0,10.0,6.0
276,8.0,1.0,1.0,12.0,6.0
277,8.0,1.0,1.0,16.0,5.0
278,8.0,1.0,1.0,14.0,3.0
279,8.0,1.0,0.0,15.0,6.0
280,7.0,1.0,1.0,11.0,4.0
281,7.0,0.0,0.0,11.0,3.0
282,7.0,1.0,1.0,9.0,3.0
283,8.0,1.0,1.0,10.0,5.0
284,9.0,1.0,1.0,14.0,5.0
285,7.0,1.0,1.0,11.0,4.0
286,8.0,1.0,0.0,10.0,2.0
287,7.0,1.0,0.0,16.0,4.0
288,7.0,1.0,1.0,10.0,5.0
289,9.0,1.0,1.0,12.0,5.0
290,8.0,1.0,1.0,11.0,6.0
291,7.0,1.0,1.0,9.0,3.0
292,9.0,1.0,1.0,15.0,5.0
293,8.0,1.0,1.0,18.0,6.0
294,8.0,1.0,1.0,9.0,3.0
295,6.0,1.0,0.0,10.0,3.0
296,6.0,1.0,0.0,10.0,3.0
297,8.0,1.0,1.0,17.0,5.0
298,8.0,1.0,0.0,9.0,6.0
299,7.0,1.0,0.0,9.0,3.0
300,7.0,1.0,1.0,10.0,3.0
301,7.0,1.0,1.0,10.0,4.0
302,7.0,1.0,1.0,9.0,3.0
303,6.0,1.0,0.0,9.0,3.0
304,8.0,1.0,1.0,12.0,4.0
305,8.0,1.0,1.0,16.0,6.0
306,8.0,2.0,1.0,17.0,4.0
307,7.0,1.0,1.0,10.0,3.0
308,8.0,1.0,1.0,13.0,4.0
309,7.0,1.0,0.0,12.0,5.0
310,8.0,1.0,0.0,11.0,4.0
311,8.0,1.0,1.0,14.0,6.0
312,8.0,1.0,1.0,12.0,6.0
313,5.0,0.0,0.0,9.0,2.0
314,7.0,0.0,0.0,8.0,2.0
315,8.0,1.0,1.0,9.0,4.0
316,7.0,1.0,1.0,9.0,3.0
317,6.0,1.0,1.0,10.0,3.0
318,9.0,1.0,1.0,14.0,6.0
319,10.0,1.0,1.0,18.0,6.0
320,5.0,0.0,0.0,9.0,2.0
321,9.0,1.0,0.0,15.0,5.0
322,7.0,1.0,0.0,9.0,4.0
323,8.0,1.0,1.0,20.0,5.0
324,6.0,1.0,0.0,10.0,2.0
325,9.0,1.0,0.0,14.0,5.0
326,8.0,0.0,0.0,9.0,4.0
327,6.0,1.0,1.0,12.0,3.0
328,8.0,1.0,1.0,15.0,6.0
329,5.0,0.0,0.0,9.0,2.0
330,7.0,1.0,0.0,9.0,4.0
331,8.0,1.0,1.0,12.0,4.0
332,5.0,0.0,0.0,8.0,2.0
333,7.0,1.0,1.0,13.0,3.0
334,8.0,1.0,0.0,13.0,6.0
335,7.0,1.0,1.0,10.0,4.0
336,8.0,1.0,0.0,10.0,2.0
337,8.0,1.0,0.0,12.0,5.0
338,9.0,1.0,0.0,16.0,6.0
339,7.0,1.0,1.0,16.0,5.0
340,8.0,1.0,1.0,15.0,5.0
341,7.0,0.0,0.0,11.0,3.0
342,8.0,1.0,0.0,13.0,5.0
343,9.0,1.0,0.0,16.0,6.0
344,9.0,1.0,0.0,14.0,3.0
345,8.0,1.0,1.0,15.0,6.0
346,8.0,2.0,1.0,14.0,5.0
347,7.0,2.0,1.0,17.0,4.0
348,7.0,1.0,1.0,9.0,3.0
349,9.0,1.0,1.0,13.0,6.0
350,9.0,1.0,1.0,12.0,5.0
351,7.0,1.0,0.0,9.0,3.0
352,7.0,1.0,1.0,12.0,5.0
353,7.0,1.0,1.0,10.0,3.0
354,8.0,1.0,1.0,11.0,4.0
355,7.0,1.0,1.0,9.0,3.0
356,8.0,0.0,0.0,10.0,6.0
357,7.0,1.0,1.0,9.0,4.0
358,6.0,1.0,1.0,12.0,3.0
359,6.0,0.0,0.0,9.0,4.0
360,6.0,1.0,1.0,9.0,3.0
361,8.0,1.0,0.0,11.0,4.0
362,6.0,1.0,0.0,9.0,3.0
363,8.0,2.0,1.0,18.0,6.0
364,6.0,1.0,0.0,10.0,3.0
365,7.0,1.0,1.0,10.0,5.0
366,8.0,1.0,1.0,18.0,6.0
367,6.0,1.0,0.0,9.0,3.0
368,7.0,1.0,1.0,11.0,3.0
369,6.0,1.0,1.0,9.0,3.0
370,7.0,1.0,1.0,9.0,4.0
371,9.0,1.0,1.0,13.0,5.0
372,9.0,1.0,1.0,12.0,6.0
373,9.0,1.0,1.0,16.0,6.0
374,0.0,1.0,1.0,11.0,6.0
375,8.0,1.0,0.0,11.0,5.0
376,7.0,1.0,1.0,10.0,3.0
377,6.0,1.0,1.0,10.0,3.0
378,7.0,1.0,1.0,12.0,4.0
379,8.0,1.0,1.0,14.0,6.0
380,7.0,1.0,1.0,10.0,3.0
381,8.0,1.0,0.0,17.0,5.0
382,8.0,1.0,1.0,11.0,6.0
383,8.0,1.0,1.0,10.0,6.0
384,7.0,1.0,1.0,14.0,4.0
385,7.0,1.0,0.0,9.0,4.0
386,8.0,2.0,1.0,16.0,6.0
387,7.0,1.0,1.0,12.0,4.0
388,7.0,0.0,0.0,11.0,2.0
389,8.0,1.0,0.0,16.0,4.0
390,8.0,1.0,1.0,20.0,6.0
391,9.0,1.0,1.0,13.0,4.0
392,7.0,1.0,1.0,10.0,3.0
393,8.0,1.0,0.0,14.0,6.0
394,5.0,1.0,0.0,9.0,2.0
395,9.0,1.0,1.0,13.0,7.0
396,8.0,1.0,0.0,11.0,5.0
397,5.0,0.0,0.0,8.0,1.0
398,7.0,1.0,0.0,10.0,4.0
399,9.0,1.0,0.0,12.0,5.0
400,8.0,1.0,0.0,14.0,6.0
401,6.0,1.0,0.0,9.0,3.0
402,7.0,0.0,0.0,13.0,4.0
403,8.0,1.0,1.0,15.0,6.0
404,9.0,1.0,1.0,10.0,7.0
405,7.0,1.0,1.0,10.0,3.0
406,8.0,1.0,0.0,11.0,3.0
407,5.0,0.0,0.0,9.0,2.0
408,7.0,0.0,0.0,11.0,4.0
409,6.0,1.0,1.0,9.0,3.0
410,7.0,1.0,1.0,9.0,4.0
411,8.0,1.0,1.0,10.0,5.0
412,8.0,1.0,0.0,9.0,4.0
413,8.0,0.0,0.0,11.0,4.0
414,7.0,1.0,1.0,12.0,4.0
415,8.0,1.0,1.0,10.0,4.0
416,6.0,0.0,0.0,9.0,5.0
417,8.0,1.0,1.0,12.0,4.0
418,9.0,1.0,1.0,18.0,5.0
419,7.0,1.0,0.0,10.0,2.0
420,8.0,1.0,1.0,15.0,6.0
421,7.0,1.0,1.0,11.0,5.0
422,8.0,1.0,0.0,10.0,4.0
423,8.0,1.0,1.0,16.0,6.0
424,8.0,1.0,1.0,18.0,6.0
425,7.0,1.0,1.0,11.0,3.0
426,7.0,1.0,1.0,10.0,6.0
427,8.0,1.0,1.0,16.0,5.0
428,9.0,1.0,1.0,16.0,6.0
429,8.0,1.0,1.0,15.0,5.0
430,9.0,1.0,1.0,15.0,6.0
431,7.0,1.0,1.0,14.0,6.0
432,8.0,1.0,1.0,14.0,6.0
433,8.0,1.0,0.0,10.0,5.0
434,8.0,1.0,0.0,9.0,6.0
435,8.0,1.0,1.0,15.0,5.0
436,8.0,1.0,1.0,11.0,5.0
437,8.0,1.0,1.0,9.0,3.0
438,8.0,1.0,1.0,13.0,6.0
439,6.0,1.0,0.0,9.0,3.0
440,7.0,1.0,1.0,14.0,6.0
441,8.0,1.0,1.0,10.0,4.0
442,6.0,1.0,0.0,9.0,3.0
443,5.0,1.0,0.0,9.0,2.0
444,7.0,1.0,0.0,11.0,3.0
445,6.0,1.0,1.0,9.0,3.0
446,7.0,1.0,1.0,10.0,4.0
447,7.0,1.0,0.0,11.0,5.0
448,7.0,1.0,1.0,9.0,3.0
449,8.0,1.0,0.0,10.0,6.0
450,9.0,1.0,1.0,14.0,5.0
451,7.0,1.0,0.0,9.0,5.0
452,7.0,1.0,1.0,10.0,3.0
453,7.0,1.0,0.0,9.0,3.0
454,7.0,1.0,0.0,9.0,2.0
455,8.0,1.0,1.0,17.0,6.0
456,8.0,1.0,0.0,13.0,4.0
457,7.0,1.0,1.0,12.0,6.0
458,7.0,1.0,1.0,12.0,3.0
459,7.0,1.0,0.0,9.0,4.0
460,7.0,1.0,1.0,10.0,3.0
461,8.0,0.0,0.0,13.0,4.0
462,9.0,1.0,1.0,18.0,5.0
463,7.0,1.0,1.0,9.0,3.0
464,9.0,1.0,1.0,14.0,7.0
465,7.0,0.0,0.0,9.0,2.0
466,9.0,1.0,1.0,16.0,7.0
467,8.0,1.0,0.0,14.0,5.0
468,8.0,1.0,1.0,9.0,6.0
469,8.0,1.0,0.0,12.0,5.0
470,8.0,1.0,0.0,11.0,3.0
471,7.0,1.0,1.0,13.0,4.0
472,8.0,1.0,1.0,10.0,6.0
473,7.0,1.0,1.0,15.0,5.0
474,8.0,1.0,0.0,13.0,2.0
475,7.0,1.0,1.0,12.0,4.0
476,8.0,1.0,1.0,10.0,6.0
477,8.0,1.0,0.0,9.0,5.0
478,9.0,1.0,1.0,11.0,6.0
479,8.0,1.0,1.0,11.0,5.0
480,7.0,1.0,1.0,10.0,5.0
481,8.0,0.0,0.0,11.0,6.0
482,8.0,1.0,1.0,15.0,4.0
483,9.0,1.0,1.0,14.0,6.0
484,7.0,1.0,0.0,9.0,6.0
485,7.0,1.0,1.0,9.0,4.0
486,8.0,1.0,1.0,16.0,6.0
487,5.0,1.0,0.0,10.0,2.0
488,8.0,1.0,1.0,9.0,4.0
489,8.0,0.0,0.0,12.0,4.0
490,8.0,1.0,1.0,14.0,6.0
491,7.0,1.0,0.0,10.0,6.0
492,9.0,1.0,1.0,16.0,6.0
493,8.0,0.0,0.0,9.0,3.0
494,8.0,1.0,0.0,11.0,3.0
495,8.0,1.0,0.0,15.0,4.0
496,7.0,1.0,1.0,11.0,3.0
497,8.0,1.0,1.0,12.0,4.0
498,9.0,1.0,1.0,15.0,5.0
499,8.0,1.0,1.0,15.0,4.0
500,9.0,1.0,1.0,16.0,7.0
501,7.0,1.0,0.0,9.0,3.0
502,6.0,0.0,0.0,10.0,2.0
503,8.0,1.0,1.0,12.0,5.0
504,8.0,1.0,1.0,16.0,6.0
505,8.0,1.0,1.0,10.0,6.0
506,7.0,1.0,1.0,9.0,4.0
507,7.0,1.0,0.0,11.0,3.0
508,7.0,1.0,0.0,12.0,5.0
509,8.0,0.0,0.0,13.0,4.0
510,7.0,1.0,1.0,11.0,5.0
511,7.0,2.0,1.0,11.0,6.0
512,7.0,1.0,0.0,12.0,3.0
513,8.0,2.0,1.0,16.0,6.0
